accountid,itemid,datepurchased
T9ZSG,6WPC0,2022-09-04
T9ZSG,HSUVT,2022-09-04
T9ZSG,2XC7O,2022-09-04
T9ZSG,7L80Q,2022-09-04
T9ZSG,GR5XS,2022-09-04
T9ZSG,QKWZB,2022-09-04
T9ZSG,WLJHS,2022-09-04
HPTBM,GI3W6,2022-05-30
HPTBM,E3LEH,2022-05-30
HPTBM,OPKGH,2022-05-30
HPTBM,6UPG9,2022-05-30
HPTBM,Q6VOV,2022-05-30
HPTBM,VQ2BV,2022-05-30
HPTBM,B8HUB,2022-05-30
HPTBM,SBE3R,2022-05-30
HPTBM,OO5QT,2022-05-30
HPTBM,GC9F1,2022-05-30
F95B8,7D3PZ,2022-09-16
HJYAF,TUE1V,2022-10-19
V5CHD,BBT3H,2022-08-11
HJYAF,ASGVF,2022-10-19
HJYAF,L9DQX,2022-10-19
HJYAF,UEWB2,2022-10-19
HJYAF,DY2YC,2022-10-19
HJYAF,GIDAQ,2022-10-19
HJYAF,7P27B,2022-10-19
HJYAF,P5851,2022-10-19
HJYAF,IVKBC,2022-10-19
HJYAF,PAXXV,2022-10-19
HJYAF,LI6HU,2022-10-19
HJYAF,LV2FX,2022-10-19
HJYAF,PAXIB,2022-10-19
HJYAF,OZ551,2022-10-19
HJYAF,B3U4W,2022-10-19
HJYAF,OAOYI,2022-10-19
8NP1J,4IBZ1,2022-03-12
29JBC,3C0M7,2022-10-19
29JBC,KDGIQ,2022-03-12
29JBC,QG99D,2022-10-19
29JBC,Q8WJC,2022-03-12
29JBC,NU9ZJ,2022-10-19
29JBC,FGIRP,2022-03-12
29JBC,XVQ6O,2022-10-19
29JBC,SGPTE,2022-03-12
HJYAF,9P1PN,2022-10-04
8NP1J,NZW1Q,2022-03-12
29JBC,NZOSU,2022-10-19
X4E1M,VB9YG,2022-03-12
X4E1M,A7G8C,2022-10-19
BRX62,J348U,2022-04-08
I1JY3,4TYA8,2022-09-28
29JBC,5YR3V,2022-03-12
HJYAF,UY5PB,2022-10-04
8NP1J,EXZJ0,2022-03-12
29JBC,XNFUA,2022-10-19
X4E1M,TFNKP,2022-03-12
X4E1M,T2RM6,2022-10-19
BRX62,0L3NQ,2022-04-08
I1JY3,2EF8S,2022-09-28
X4E1M,8WAWB,2022-10-19
BRX62,H9DQU,2022-04-08
I1JY3,OSKPM,2022-09-28
X4E1M,MNNYK,2022-10-19
BRX62,5YRO9,2022-04-08
BRX62,Y7WR8,2022-05-01
OCSC1,Y9WG6,2022-06-13
OCSC1,V08TN,2022-05-01
HZLY8,3J8RD,2022-05-01
29JBC,K3CH7,2022-03-12
HJYAF,3TBV8,2022-10-04
8NP1J,V4OYV,2022-03-12
29JBC,MK4DM,2022-10-19
X4E1M,H0V6O,2022-03-12
X4E1M,7JTSO,2022-10-19
BRX62,Z4YDL,2022-04-08
I1JY3,14NRE,2022-09-28
IHYZO,PCOU6,2022-10-13
29JBC,OWG8Z,2022-03-12
HJYAF,LEQ1T,2022-10-04
8NP1J,QIFHM,2022-03-12
29JBC,IIYX7,2022-10-19
X4E1M,C8UMU,2022-03-12
X4E1M,4HN2S,2022-10-19
BRX62,QTEEF,2022-04-08
I1JY3,ZSBPW,2022-09-28
TIQQA,AZQPB,2022-07-13
BRX62,64ORQ,2022-04-08
I1JY3,E0MLN,2022-09-28
IHYZO,4TGBC,2022-10-13
29JBC,DT894,2022-03-12
HJYAF,YV0WJ,2022-10-04
8NP1J,TCM7S,2022-03-12
1XG6O,8LXVO,2022-08-30
BRX62,IO9A8,2022-04-08
I1JY3,PWHNO,2022-09-28
IHYZO,1YRNW,2022-10-13
29JBC,4D0LB,2022-03-12
HJYAF,VNPK2,2022-10-04
8NP1J,T8P6V,2022-03-12
I1JY3,IPKWV,2022-09-28
IHYZO,28YTO,2022-10-13
29JBC,D3L74,2022-03-12
HJYAF,ZE5UW,2022-10-04
8NP1J,1YSU4,2022-03-12
1XG6O,IDTQO,2022-08-30
BRX62,UVS1V,2022-04-08
TWDIW,C228J,2022-05-28
