adid,level,content,itemid,merchantid
P8B76,gold,Laugh such carry field movement.,AR8E8,JY3X4
WCXLV,silver,,FJ37V,C78AR
0AP4W,platinum,Firm best character strong manager.,0KRSQ,WJRLZ
47KYS,other,,52LU9,FUR3X
B3L2U,silver,Open size behind section rather check.,QSJZI,K5CLT
J61ZP,silver,,AP0H1,OZBPO
PNQP8,silver,Thing few similar.,7XKOS,08KUN
PVJUP,platinum,Stage stage choice enough very right.,99OKS,NKNLM
Q9L8H,other,,1ICFS,X342E
LWPF8,other,Much practice talk beat support down.,HI5F4,3I68A
SYR6M,silver,Despite director speech sure.,6FE1E,6A1CR
UBCMM,platinum,Understand wall without about once.,H1BUL,L6USX
3FQ6S,other,,DBPHV,DRNO4
R92T9,other,Budget that reason run yourself until.,NDM2R,P0JA5
4XOFF,gold,Business allow economic build.,OAANE,Q17SE
B6VGP,gold,,WHBXA,BW3MU
GTFZI,platinum,,0O042,BV5DO
KLOII,platinum,,7ZGCQ,1VT3O
TJRNF,platinum,Sport prepare none they team after.,BEY1S,CZOIF
0LMBW,other,Animal right man their.,Z73MX,UEVYS
RFROA,platinum,Common fish part morning.,7ATM4,85TQL
A0IJ5,gold,Player need ok much.,EXQ8Z,DZC76
OL3U2,platinum,Marriage model exist.,XKZZS,9CWE6
RMGW5,silver,,YQACM,PRF6N
SNS9Z,gold,,FGIRP,BQ74R
HG7I3,platinum,,YX8X8,1HBQW
8MLEQ,other,Dream four probably.,XUK78,IUWG8
Y6DWY,other,Direction before enjoy life inside.,58SFY,PRBZA
8JCT2,other,,8EHE2,R7K4O
NZFG8,other,,S68BT,CTMHY
3KCMO,platinum,,3SGCB,UOQ2K
Y0E9N,platinum,,XWGLM,1H9CX
FMG6I,platinum,Coach read church lose college half.,B56ZO,6GSGP
71ZQ4,gold,,S7N68,ZLIUE
NCM2N,platinum,Staff better final state.,T30XR,K99E6
JP34F,silver,Officer lot draw pick project.,N4Z05,19J34
SZVTF,gold,First above yet officer.,5W796,YA5CE
XFOI0,platinum,Discuss finish conference also appear.,CIZ9R,D73LI
5SJ7X,platinum,,MDWWJ,OREG1
UUEXM,platinum,Off store firm perform.,WL502,G9Q2G
71YZC,platinum,,W1URV,8AOIB
SJ7M5,silver,,AZI9G,ZVZGY
J1QNH,platinum,,21SSY,YDZC3
81LCT,other,Teach meet themselves leader hear.,V4DM9,VPIG7
XGG5P,gold,,VAB3D,7B5PR
F3QQ9,other,,FSQ3D,OZBPO
H7K5P,gold,,QVE5Q,FRH4L
JJLEG,silver,,YBE2H,3XOCG
3Q0CE,platinum,No decade leave interest.,C8LVX,K52E6
2DWVQ,other,,YF59W,CUVCD
BSPNF,platinum,,8MWF5,O0KP9
7N2UA,silver,,OH7OM,IXU4J
79IV8,other,Dinner participant cold machine our.,WP0ER,PHPNC
TG2RP,silver,Ever seek plan one quickly mission.,B6L45,QLECR
TFXJ2,gold,,913R9,LZAU3
2DS61,other,Practice century go east trip election.,KRW2B,6QJGV
7MKAR,gold,Physical who establish husband.,E6QYU,0HGJC
QM54Q,other,,1FO1Y,CZOIF
5RLAN,silver,,S16IZ,CAFPE
GB1TU,platinum,,4XXY4,0QEPM
IHPW4,other,,ANXU6,0R2KU
W110X,gold,Throughout much nation bar.,Q83P8,H7FKP
92IGA,other,Loss our hold discuss anything own.,K2HTL,NL2WY
PZG0D,silver,West hold leave.,TKKOY,AADER
TR7H9,silver,,HT3YM,SZXQH
JAFVV,other,Somebody bad top total reduce.,ZVVTC,U29GK
PX3Q8,platinum,I cause happen society meet.,5I0AY,0YDV7
ZAGAG,silver,Enough American over road some stay TV.,ZX8TZ,DDZV9
T8H6T,gold,,C3NV8,9CK79
SDPHK,other,,WNPM6,FUR3X
3QK2B,other,,PBCIG,RLY94
HGTFY,platinum,,3CRG2,7QINW
YO369,silver,,I6OOA,L4VJ1
A0OSW,silver,,D8PUU,F98VS
3QWRK,platinum,Wrong Mr company if during because.,ZRT7H,EDOMX
V9IC5,other,Someone west their free.,N3WOD,JWXSS
1B84V,gold,,AYP1L,WW2NM
S026S,gold,Meet news economic make require score.,LQ4YI,FUS1Y
FWY0Y,platinum,,LWOJJ,GV6M6
Z9A1S,other,,BEDDY,7WHJR
1ZT49,silver,,6FE1E,6A1CR
KWC12,other,,I53DI,F98VS
OVOYB,silver,,OWS7F,QWEC7
5EGLC,platinum,Culture ability beat.,A6GK8,36SYH
LA711,platinum,,HGT1F,92I2Y
2T8CK,other,,TCM7S,20AR2
GH4ST,silver,,UYZ5O,Y4RHZ
RV3ED,silver,,DND5A,62876
3T9NY,gold,,FSIIK,V87IG
CFXAS,silver,,1BZKW,Q6RDS
CCJK4,gold,State huge his participant.,MLZ88,P8DKB
B9IGE,gold,Glass PM since loss.,9AMVO,8MZDC
HMG51,gold,,SYZYY,Z0LJU
26K8G,platinum,Reach direction baby drop.,R8ZNT,WJRLZ
16IF6,gold,Strong always single test operation.,58SD0,BIVH0
9PGYX,silver,Manage much describe ground.,G9WMY,84ZNK
8ZTPF,platinum,Suggest fund fact safe about.,L684Q,BL4U8
XSW6X,gold,,RL0FW,4OUJ8
JQNIL,gold,Street process work low plan education.,VAPZV,O83AN
4IRQI,gold,,085HX,ZXBS8
WUMG6,other,,2C2U8,H7FKP
QUMHP,silver,Too laugh door.,UIG0A,F5WTM
GRY9W,gold,Easy environment heart hot Congress.,AEZ0L,1H9CX
OZC08,silver,Become however throw.,E2KKR,3S3MN
KQCRF,silver,Sign politics enter enough.,BVXGZ,V20LN
AROLQ,silver,Dark deal among position onto control.,DOJW6,3O35F
7HK5M,gold,,MOSFB,5JJX3
CQABK,silver,,R66RN,KYTZ7
ZO9MC,platinum,,R3GNJ,6LV2R
82VWX,gold,Executive success top ten bed.,E5WMF,OZBPO
B0XL4,platinum,Take body suggest ten.,WCXLV,61A69
YAM50,other,,843F4,PHPNC
KATLG,platinum,,ELZBH,LV4UC
ZQ70U,other,,UH85O,T21O4
HQUQQ,silver,,53LLM,OREG1
6B566,platinum,,JPAQK,61A69
0CB09,gold,Land happen whose worry.,AUR0N,BQ74R
RBB5Y,silver,Fly fact world water nature boy.,FM2Q6,BKW17
7294L,gold,Fall represent itself important social.,UOGGP,V87IG
NT1EO,gold,,KCFRG,7E9AJ
3I5U2,platinum,,0530H,Q1X68
Q5V7O,gold,,75F48,3FLK5
6QZ8G,silver,Season similar she professional.,QG3B4,7TOUB
6IJEV,platinum,,LW5LF,0HC1E
54E7D,platinum,Score federal song onto gun.,GMPPF,3KLP3
IQFTW,platinum,Teach note word be water career.,PI8QJ,0C7T4
XCVGG,gold,,JHAMI,19J34
TXLA4,other,,MB43W,UBB1Y
NF0R5,other,Discover through feel easy charge.,ICWTJ,4Z5VC
YJ1N1,platinum,,O7OXI,LV4UC
I3UXS,other,,5BPXO,Y10ZO
K3IVO,other,,UXGSA,F5WTM
82ULF,silver,,MYM9T,A5WQ0
WHHYU,silver,,TW1LD,ISPDE
AMTLK,platinum,,2OSVX,3I68A
PF7QG,gold,,HP963,1VT3O
FZ35J,platinum,,HDBUH,QR035
HJHZG,silver,,F6BXN,8RY42
GNTZL,other,Single produce if prove but strong key.,XWJ9L,8HSSP
VLZQL,platinum,Congress help cut threat.,0ZSTH,6FWZI
FN7W3,gold,,5W2TE,GQM6L
1T3DI,silver,,3QEXH,29003
OOEI2,other,,EHPZB,62876
OHUIM,platinum,Push protect huge wall house himself.,OZW2H,F1G3J
U5V46,silver,Meeting half wait agreement available.,Y681K,3LLAJ
BLRM6,gold,,COD2Y,5JJX3
LHD37,other,The shake federal few building.,TEFZG,A7G8C
UVOV5,platinum,Read dinner be certainly property.,U4IAW,GV6M6
B4IAF,gold,Health Republican we that about.,THJKW,DNCLE
HDUTM,gold,Policy doctor the station time.,LB1T8,RJWPA
OLXY7,silver,Do field shoulder past argue.,EN3IG,8RY42
NZCOA,other,Report nearly help them response seat.,UKONE,N169E
0JMEI,silver,Right conference tonight fight study.,RVLZQ,OFOQB
S2V70,other,,WA65H,UFNZK
R7T28,silver,,WN1R6,JUDOH
VZRAN,other,Book camera open always share.,CO260,W3UYZ
Z1IL4,platinum,Inside official hold official attack.,UKF7Y,XYUHX
KMER6,platinum,If guess owner on buy skin.,N9JTY,QWK5C
L5H4P,other,About perhaps green score.,SQJ5E,6IPKS
HD7CF,gold,Ahead team worry big indeed tree.,11WU4,Y26NY
IJNWX,gold,,U1CXQ,GPJ8L
5IV7N,platinum,Letter at term spend agree his.,JDLBS,22VQ9
2SGI0,gold,By will leader management music.,S7MF0,JI8HS
MILRR,silver,,QJNLX,VPIG7
V8GFZ,gold,,PONU9,GLVQG
V1PV1,gold,,YZX0A,UP16N
45TPY,gold,,050LI,PHPNC
KF9R3,gold,Film marriage write in idea huge.,0MYC6,C78AR
KJ9V3,gold,Force back offer subject particular.,EUDZ5,QMNGC
3HITV,silver,Family along community whose.,BR9EJ,46YCO
52AUJ,other,Design increase color between skill.,EPY1I,AZB2M
TLKF0,other,Hit doctor both change.,V7WX2,LC3OK
8I0VI,silver,Sense painting at baby figure home.,X2NY2,FRH4L
KFFPH,platinum,,VR5P7,0QEPM
MBYVQ,silver,Certainly policy smile kid.,Y8XJQ,QR035
27CT2,other,Red accept popular line stage.,TLFZ2,Y10ZO
O4A7Z,silver,,XVC1J,87CKX
WSKLR,platinum,Four into lay game huge low rule.,GY5X2,SHGFE
DRXG0,silver,,R1CW2,N7TIV
HWYJT,silver,Bag offer employee get sound.,K3HA8,KVQRA
EP8EN,silver,Data serious future.,UGQFT,NBQEK
9GKKD,other,Board data newspaper I wide campaign.,MGXIN,YA5CE
N8D5E,gold,Car break early sort can.,695U4,8Q3XK
MK5M7,silver,Mean power dog safe feeling.,PFWM8,3KCY4
FJX8A,silver,Run behavior recently.,CCC53,6WQ8P
8OTA0,silver,,1M8JK,RPWW0
RWGTJ,silver,,VH764,QCIEZ
AZA1O,other,Do class door believe expect election.,AJQOT,Y2ZFL
SAL38,gold,Would again low determine.,CU1WJ,VJV2D
ACFIZ,other,Color step account join three.,TVSC3,KSZOZ
